name,address,website,phone_number,reviews_count,reviews_average,store_shopping,in_store_pickup,store_delivery,place_type,opens_at,introduction,search_city
Saw’s Street Kitchen Food Truck,"1150 11th Ave S, Birmingham, AL 35205, United States",sawsbbq.com,+1 205-224-4408,15,3.9,No,No,No,Mobile caterer, · Closes 2:30PM,None Found,Banks
Banks Buy-Rite,"9440 US-29, Banks, AL 36005, United States",,+1 334-243-5533,204,4.6,No,No,No,Grocery store, · Closes 7:30PM,None Found,Banks
Home Plate Cooking,"5129 Hwy 17, Helena, AL 35080, United States",homeplatecooking.com,+1 205-621-6502,172,4.8,No,Yes,No,Convenience store, · Closes 7PM,None Found,Helena
Crawdaddy’s,"220 Cahaba Valley Rd, Pelham, AL 35124, United States",,+1 662-816-7327,49,4.5,No,No,Yes,Restaurant, · Closes 9PM,None Found,Helena
Frios Gourmet Pops - Alabaster,"105 Newgate Rd, Alabaster, AL 35007, United States",friospops.com,+1 205-216-2897,93,4.8,No,No,Yes,Dessert restaurant,,None Found,Helena
What's Cluckin LLC (Bay Minette),"718 McMeans Ave, Bay Minette, AL 36507, United States",whatscluckinwings.com,+1 251-239-8393,115,4.2,No,Yes,Yes,Chicken restaurant, · Closes 8PM,None Found,Bay Minette
The Local Scoop,"708 D'Olive St, Bay Minette, AL 36507, United States",facebook.com,+1 251-284-8188,30,4.0,No,No,No,Ice cream shop, · Closes 8PM,None Found,Bay Minette
Bayou Seafood Company LLC,"13450 N, 13450 Wintzell Ave, Bayou La Batre, AL 36509, United States",facebook.com,+1 251-824-2248,767,4.7,No,No,Yes,Seafood restaurant, · Closes 6:30PM,None Found,Bayou La Batre
Phnom Penh Fusion,"13260 Wintzell Ave, Bayou La Batre, AL 36509, United States",purplelight.pw,+1 251-824-6017,306,4.5,No,No,Yes,Asian restaurant, · Closes 9PM,None Found,Bayou La Batre
Captain Frank's Smoke Shack,"13876 S Wintzell Ave, Bayou La Batre, AL 36509, United States",facebook.com,+1 251-824-1749,197,4.7,No,No,Yes,Barbecue restaurant, · Closes 5:30PM,None Found,Bayou La Batre
Catalina Restaurant,"14060 S Wintzell Ave, Bayou La Batre, AL 36509, United States",placeid.site,+1 251-824-1120,1223,4.5,No,No,Yes,Seafood restaurant, · Closes 8:30PM,None Found,Bayou La Batre
Kains Mexican Grill,"13350 Wintzell Ave, Bayou La Batre, AL 36509, United States",placeid.site,+1 251-824-1442,266,4.3,No,No,Yes,Restaurant, · Closes 10PM,None Found,Bayou La Batre
China King,"12993 N, 12993 Wintzell Ave A, Bayou La Batre, AL 36509, United States",mapsy.top,+1 251-824-3388,249,4.2,No,No,Yes,Chinese restaurant, · Closes 9PM,None Found,Bayou La Batre
Lighthouse Restaurant,"12495 Padgett Switch Rd, Irvington, AL 36544, United States",,+1 251-824-2500,1890,4.4,No,No,Yes,Seafood restaurant, · Closes 9PM,"Familiar, long-standing seafood institution offering down-home classics in a homey, cozy atmosphere.",Bayou La Batre
Waffle House,"13035 Wintzell Ave, Bayou La Batre, AL 36509, United States",wafflehouse.com,+1 251-824-1747,480,4.1,No,No,Yes,Breakfast restaurant,Open 24 hours,"Simple chain spot offering American diner fare & all-day breakfast, including signature waffles.",Bayou La Batre
Pizza Hut,"14031 S Wintzell Ave, Bayou La Batre, AL 36509, United States",locations.pizzahut.com,+1 251-824-3177,388,4.3,No,No,Yes,Pizza delivery,Open · Closes 11PM,"Popular delivery, carry-out & dine-in chain known for pizza, wings & pasta, plus sides & desserts.",Bayou La Batre
Marathon Gas,"12905 Wintzell Ave, Bayou La Batre, AL 36509, United States",marathonfuel.com,+1 866-462-7284,13,1.9,No,No,No,Gas station, · Closes 10PM,None Found,Bayou La Batre
Aloha Made BBQ,"950 Nichols Ave, Fairhope, AL 36532, United States",alohamadebbq.com,+1 251-880-8810,106,4.9,No,Yes,Yes,Hawaiian restaurant, · Closes 6PM,None Found,Fairhope
AteUp! Wok on Wheels,"408 N Section St, Fairhope, AL 36532, United States",linktr.ee,+1 251-300-9458,3,5.0,No,No,No,Restaurant,,None Found,Fairhope
Pirates Pit,"18974 Section St, Fairhope, AL 36532, United States",piratespit.top,+1 251-229-6229,225,4.8,No,Yes,Yes,Restaurant, · Closes 7PM,None Found,Fairhope
Rae’s Kitchen,"76 S Section St Suite B, Fairhope, AL 36532, United States",raesfairhope.com,+1 251-210-6135,104,4.8,No,No,Yes,Lunch restaurant,Open · Closes 6PM,None Found,Fairhope
Rae’s Kitchen,"76 S Section St Suite B, Fairhope, AL 36532, United States",,+1 251-929-8699,591,4.6,No,No,Yes,Restaurant, · 2PM · Reopens 4PM,None Found,Fairhope
Mr Spuds,"18957 State Hwy 181, Fairhope, AL 36532, United States",,+1 251-929-8699,591,4.6,No,No,Yes,Restaurant, · 2PM · Reopens 4PM,None Found,Fairhope
El coyote food truck,"1650 Center Point Pkwy, Center Point, AL 35215, United States",usmapid.org,+1 205-569-6835,28,4.7,No,No,Yes,Mexican restaurant, · Closes 9PM,None Found,Bear Creek
Lil Red Caboose,"Valley, AL 36854, United States",m.facebook.com,+1 808-636-7649,10,4.6,No,No,Yes,Fast food restaurant, · Closes 8PM,None Found,Bear Creek
Smokin' Gringos taco truck catering,"10 Springdale Blvd, Mobile, AL 36606, United States",smokin-gringos.square.site,+1 251-458-6890,10,4.9,No,No,No,Caterer,,None Found,Bear Creek
13 Grill,"812 AL-13, Haleyville, AL 35565, United States",,+1 205-486-9606,171,4.2,No,No,Yes,Restaurant, · Closes 7:30PM,None Found,Bear Creek
El Portal Food Truck,"59 Douglas Rd, Falkville, AL 35622, United States",elportal2al.com,+1 256-387-0599,42,4.6,No,No,Yes,Mexican restaurant, · Closes 10PM,None Found,Hartselle
Holy Smoke BBQ,"900 US-31, Hartselle, AL 35640, United States",luerr.com,+1 256-751-2000,479,4.5,No,No,Yes,Barbecue restaurant, · Closes 8PM,None Found,Hartselle
Man man’s Grill & sweet treats,"17302 AL-21, Beatrice, AL 36425, United States",,+1 251-362-0586,4,5.0,No,No,No,Restaurant,,None Found,Beatrice
Beatrice Auto Supply,"AL-21, Beatrice, AL 36425, United States",,+1 251-789-2130,7,4.7,No,No,No,Auto parts store, · Closes 6PM,None Found,Beatrice
Corry's Food Truck,"2730 Allison-Bonnett Memorial Dr, Bessemer, AL 35023, United States",facebook.com,+1 205-370-4038,4,5.0,No,No,No,American restaurant,,None Found,Beatrice
Stop for Breakfast,"8455 AL-63, Alexander City, AL 35010, United States",,+1 256-794-2394,7,4.9,No,Yes,Yes,Southern restaurant (US), · Opens 6AM Mon,None Found,Alexander City
LJ's concession and commissary,"783 Airport Dr, Alexander City, AL 35010, United States",facebook.com,+1 941-281-0234,1,5.0,No,No,Yes,Restaurant,,None Found,Alexander City
Alana's Place,"126 Marshall St, Alexander City, AL 35010, United States",facebook.com,+1 256-392-3650,65,4.8,No,No,Yes,Breakfast restaurant, · 2PM · Opens 7AM Sat,None Found,Alexander City
The Station's Best,"977 Jefferson St, Alexander City, AL 35010, United States",stationsbest.com,+1 256-234-3500,235,4.6,No,No,Yes,Chicken wings restaurant, · Closes 9PM,None Found,Alexander City
Burger King,"4250 US-280, Alexander City, AL 35010, United States",burgerking.com,+1 256-329-2317,653,3.8,No,No,Yes,Fast food restaurant,Open · Closes 12AM,"Well-known fast-food chain serving grilled burgers, fries & shakes.",Alexander City
Belk Kountry Kitchen,"6885 AL-96, Fayette, AL 35555, United States",,+1 205-932-5145,198,4.5,No,No,Yes,American restaurant, · Closes 9PM,None Found,Belk
Belk Country Kitchen,"5982-6198 1st St, Fayette, AL 35555, United States",,+1 205-932-5145,24,4.5,No,No,Yes,Restaurant, · Closes 9PM,None Found,Belk
Los 2 Potrillos #2 Food Truck,"20569 Huntsville Brownsferry Rd, Tanner, AL 35671, United States",busiussa.org,+1 256-874-5739,20,4.7,No,No,Yes,Fast food restaurant, · Closes 9PM,None Found,Benton
La Calle 7 | Food Truck,"1130 Military Rd, Benton, AR 72015, United States",,+1 501-271-6843,31,4.9,No,Yes,Yes,Nuevo Latino restaurant, · Closes 9PM,None Found,Benton
Fire Meats Wood,,firemeatswood.com,+1 334-330-0125,1,5.0,No,Yes,Yes,Restaurant,,None Found,Benton
Taquería Raquel,"13230 Hwy 78, Jasper, AL 35504, United States",,+1 205-522-4217,409,4.7,No,Yes,No,Mexican restaurant, · Closes 9PM,None Found,Jasper
Big Gr8 Barbecue,"2904 AL-195, Jasper, AL 35503, United States",facebook.com,+1 205-512-1225,18,4.1,No,No,Yes,Barbecue restaurant, · Closes 6:30PM,None Found,Jasper
SON'S SMOKEHOUSE,"320 20th St W, Jasper, AL 35501, United States",facebook.com,+1 205-522-4233,65,4.7,No,No,Yes,Hot dog stand,Open · Closes 4PM,None Found,Jasper
"JJ's Cafe, Inc.","320 20th St W, Jasper, AL 35501, United States",facebook.com,+1 205-522-4233,65,4.7,No,No,Yes,Hot dog stand,Open · Closes 4PM,None Found,Jasper
Taco Loco Mexican Grill,"1105 Hwy 78 W, Jasper, AL 35501, United States",tacolocomexicangrillal.com,+1 205-512-1092,172,4.4,No,No,Yes,Mexican restaurant, · Closes 8:30PM,None Found,Jasper
Taqueria Guerrerense,"308 Hwy 78 W, Jasper, AL 35501, United States",,+1 205-471-1725,7,4.7,No,No,No,Taco restaurant, · Closes 7PM,None Found,Jasper
Los Compadres,"1834 2nd Ave NW, Cullman, AL 35055, United States",,,39,4.9,No,No,Yes,Restaurant, · Closes 8PM,None Found,Berlin
Local Kraving LLC,,localkraving.com,+1 256-615-1360,13,4.7,No,No,No,Delivery service, · Closes 9PM,None Found,Berlin
"Devil Dawgs Concessions, Inc",,devildawgsconcessions.com,+1 256-347-6193,6,4.3,No,No,No,Mobile caterer, · Closes 3PM,None Found,Berlin
Dollar General,"6091 Co Rd 747, Cullman, AL 35055, United States",dollargeneral.com,+1 256-507-9413,390,4.2,Yes,No,Yes,Dollar store, · Closes 10PM,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",Berlin
Miners Diner,"17628 AL-18, Berry, AL 35546, United States",,+1 205-689-4502,22.0,4.6,No,No,Yes,Southern restaurant (US), · Closes 8PM,None Found,Berry
Berry,,,,,,No,No,No,,,None Found,Berry
Piggly Wiggly,"17884 AL-18, Berry, AL 35546, United States",pigglywiggly.com,+1 205-689-4566,146.0,4.4,No,No,No,Grocery store, · Closes 8PM,None Found,Berry
"SMASHED, LLC.",,facebook.com,+1 256-879-8968,28.0,4.5,No,No,No,Catering food and drink supplier, · Closes 7PM,None Found,Muscle Shoals
Mega Munchies,,,+1 256-394-0126,,,No,No,No,Mobile caterer,,None Found,Muscle Shoals
Taqueria J&C Food Truck,"1201 19th St N, Bessemer, AL 35020, United States",,+1 205-569-6555,1,5.0,No,No,No,Restaurant, · Closes 8PM,None Found,Bessemer
Get Loaded Food Truck,,m.facebook.com,+1 256-652-9028,34,4.4,No,No,No,Food producer,,None Found,Billingsley
Beast Mode Food Truck,"603 Jordan Ln NW, Huntsville, AL 35801, United States",,+1 256-425-8559,33,4.9,No,No,Yes,Restaurant, · Closes 8PM,None Found,Billingsley
Tacos Town,"105 5th St NE, Fort Payne, AL 35967, United States",,+1 256-516-0367,84,4.8,No,No,Yes,Mexican restaurant, · Closes 8PM,None Found,Fort Payne
Victoria's Tacos and Quesadillas,"110 Dekalb Plaza Blvd, Fort Payne, AL 35967, United States",,+1 256-516-3850,4,5.0,No,No,Yes,Mobile caterer, · Closes 10PM,None Found,Fort Payne
Chow King | Buffet & Grill,"1509 Glenn Blvd SW, Fort Payne, AL 35968, United States",,,2340,4.2,No,No,Yes,Chinese restaurant, · Closes 10PM,"Casual counter-serve chain serving Chinese dishes, including breakfast, soups & dim sum.",Fort Payne
J Will's Catering & Graffiti Food Truck,,,+1 256-710-4722,1,5.0,No,No,No,Catering food and drink supplier, · Closes 5PM,None Found,Tuscumbia
"Taqueria Azteca, LLC","2670 3 Mile Ln, Tuscumbia, AL 35674, United States",taqueriaaztecallcal.com,+1 256-740-1029,57,4.5,No,No,No,Restaurant, · Closes 9PM,None Found,Tuscumbia
Too Fat Sisters,"1606 US-72, Tuscumbia, AL 35674, United States",,+1 256-314-4444,873,4.5,No,No,Yes,American restaurant, · 2PM · Opens 6:30AM Sat,None Found,Tuscumbia
Momma Jean's Restaurant,"2325 AL-20, Tuscumbia, AL 35674, United States",facebook.com,+1 256-381-7001,869,4.5,No,Yes,Yes,American restaurant, · Closes 8PM,None Found,Tuscumbia
Fields Wings & Things,,fieldswingsandthings.com,+1 256-263-4028,14,4.9,No,No,No,Catering food and drink supplier, · Opens 11AM Sat,None Found,Tuscumbia
Big Taco Truck LLC,"2188 Highland Ave, Birmingham, AL 35205, United States",order.online,+1 205-729-3992,24,4.9,No,Yes,Yes,Restaurant, · Closes 9PM,None Found,Birmingham
Bayou Bros Food Truck & Catering,"113 12th St N, Birmingham, AL 35203, United States",,+1 205-908-3365,12,4.5,No,No,No,Mobile caterer, · Closes 7:30PM,None Found,Birmingham
La Quetzalteca taco truck,"345 State Farm Pkwy, Birmingham, AL 35209, United States",,+1 205-771-3954,37,4.6,No,No,Yes,Guatemalan restaurant, · Closes 8PM,None Found,Birmingham
Sahani Kitchen,"2520 4th Ave S, Birmingham, AL 35233, United States",,+1 205-203-4250,227,4.6,No,Yes,Yes,African restaurant, · Closes 6PM,None Found,Birmingham
Cafe Fresca Hawaiian Fusion Grill,"206 Western Bypass, Andalusia, AL 36420, United States",cafefresca.net,+1 334-658-7010,15,4.9,No,No,Yes,Hawaiian restaurant, · Closes 7PM,None Found,Andalusia
Boujee Bowlz,,,+1 251-727-2047,40,4.9,No,No,No,Caterer,,None Found,Andalusia
"Construction Sales & Service, Inc.","1545 Stanley Ave, Andalusia, AL 36420, United States",csstractors.com,+1 334-923-4500,10,4.9,No,No,Yes,Tractor dealer, · Closes 5PM,None Found,Andalusia
Conecuh Sausage,"181 Progress Drive, Andalusia, AL 36421, United States",conecuhsausage.com,+1 251-578-3380,10,4.4,No,No,No,Food manufacturer, · Closes 4PM,None Found,Andalusia
Real Tacos,"1928, 1801 Gunter Ave, Guntersville, AL 35976, United States",,+1 205-863-7176,12,4.8,No,No,Yes,Restaurant, · Closes 6PM,None Found,Guntersville
Burrito Jalisco #6,"1712 Blount Ave, Guntersville, AL 35976, United States",,+1 256-298-0887,28,4.6,No,Yes,Yes,Mexican restaurant, · Closes 10PM,None Found,Guntersville
DredgeEats,"124 Snug Harbor Rd, Grant, AL 35747, United States",124snugharbor.com,+1 256-302-1316,17,4.8,No,No,No,Food producer, · Closes 7PM,None Found,Guntersville
Rock House Eatery,"1201 Gunter Ave, Guntersville, AL 35976, United States",rockhouseeatery.com,+1 256-505-4699,1345,4.6,No,No,Yes,American restaurant, · 2PM · Reopens 5PM,Creative Southern cuisine provided in a stone cottage with quaint decor & an outdoor patio.,Guntersville
Bakehouse Eatery Co.,"3848 AL-69, Guntersville, AL 35976, United States",facebook.com,+1 256-486-2122,85,4.8,No,Yes,Yes,Restaurant,Open · Closes 3PM,None Found,Guntersville
Farm Fresh Foods,"245-269 Grimes Dr, Guntersville, AL 35976, United States",fsis.usda.gov,+1 256-264-9180,169,2.9,No,No,No,Food processing company,,None Found,Guntersville
Pier 1939 Purveyor,"7001 Val Monte Dr, Guntersville, AL 35976, United States",,+1 256-202-1939,33,3.9,No,No,Yes,Restaurant, · Closes 10PM,None Found,Guntersville
Patrick's Restaurant,"22242 US-431, Guntersville, AL 35976, United States",facebook.com,+1 256-505-1597,237,4.6,No,No,Yes,Takeout Restaurant, · Closes 3PM,None Found,Guntersville
Deep South BBQ And Soul Food,"69005 Main St S, Blountsville, AL 35031, United States",facebook.com,+1 205-429-4226,154,4.7,No,No,Yes,Barbecue restaurant, · Closes 5:30PM,None Found,Blountsville
Deep South BBQ And Soul Food,"69005 Main St S, Blountsville, AL 35031, United States",,+1 205-429-2796,78,4.7,No,No,No,Ice cream shop,Open · Closes 10PM,None Found,Blountsville
Frostie Freeze,"69579 Main St, Blountsville, AL 35031, United States",,+1 205-429-2796,78,4.7,No,No,No,Ice cream shop,Open · Closes 10PM,None Found,Blountsville
The Smoke Ring BBQ,"322 E Andrews Ave ste 2, Ozark, AL 36360, United States",thesmokeringbbq.com,+1 334-443-0793,129,4.7,No,No,Yes,Restaurant, · Closes 5PM,None Found,Ozark
Rodeo Ozark Alabama Mexican Restaurant,"117 E Andrews Ave, Ozark, AL 36360, United States",rodeomexozark.com,+1 334-445-2379,853,4.5,No,No,Yes,Mexican restaurant,Open · Closes 10PM,"Festive eatery preparing classic Mexican dishes & a cantina serving margaritas, beer & wine.",Ozark
Hugs & Kisses & Soul Food Dishes LLC,,,+1 334-237-2634,23,4.9,No,No,No,Caterer, · Closes 8PM,None Found,Ozark
Love's Truck Care,"3771 US-231, Ozark, AL 36360, United States",loves.com,+1 334-445-0323,26,3.9,No,No,No,Truck repair shop, · Closes 11PM,None Found,Ozark
SunStop Store #631,"3934 US-231, Ozark, AL 36360, United States",sunstopstores.com,+1 334-432-7027,31,3.9,No,No,No,Gas station,Open 24 hours,None Found,Ozark
Difilippo's Pizza,"2245 US-231, Ozark, AL 36360, United States",facebook.com,+1 334-774-8236,502,4.7,No,Yes,Yes,Pizza restaurant, · Opens 4PM,None Found,Ozark
Backroad Grill,"181 W Reynolds St, Ozark, AL 36360, United States",,+1 334-237-4530,7,4.0,No,Yes,Yes,Restaurant, · 2PM · Reopens 4:30PM,None Found,Ozark
Taquería Guerrero Food truck,"8534 1st Ave N, Birmingham, AL 35206, United States",taqueriaguerrerofoodtruck.com,+1 205-545-0643,18.0,4.4,No,Yes,Yes,Restaurant, · Closes 10PM,None Found,Irondale
Food Truck Commissary Birmingham,"1052 Gadsden Hwy, Birmingham, AL 35235, United States",commissarykitchenbirmingham.com,+1 205-810-2199,,,No,No,No,Food and beverage consultant, · Closes 8PM,None Found,Irondale
Boaz Cafe,"10830 AL-168, Boaz, AL 35957, United States",facebook.com,+1 256-593-1598,478,4.7,No,No,No,Restaurant, · Closes 7PM,None Found,Boaz
The Fire Plug,"5850 US-431, Albertville, AL 35950, United States",,+1 256-849-0318,57,4.1,No,No,Yes,Bar & grill, · Closes 11PM,None Found,Boaz
Boligee cafe,"6688 US-11, Boligee, AL 35443, United States",,+1 205-336-8701,61,4.4,No,No,Yes,Restaurant, · Closes 8PM,None Found,Boligee
Chevron Boligee Gas Station,"17619 Co Rd 20, Boligee, AL 35443, United States",chevronwithtechron.com,+1 205-336-8080,39,3.6,No,No,No,Gas station, · Closes 10PM,None Found,Boligee
El Pastorcito Taco Truck,"5373 US-280, Harpersville, AL 35078, United States",elpastorcitonow.com,+1 205-422-9439,56,4.8,No,No,No,Taco restaurant, · Closes 8PM,None Found,Bon Air
Thelma's Kitchen,"26 Mack St, Eufaula, AL 36027, United States",facebook.com,+1 334-232-4546,1496.0,4.7,No,No,No,Soul food restaurant, · Closes 7PM,None Found,Eufaula
Chick-fil-A,"900 S Eufaula Ave, Eufaula, AL 36027, United States",chick-fil-a.com,+1 334-687-8999,1378.0,4.1,No,No,Yes,Fast food restaurant,Open · Closes 10PM,Fast-food chain serving chicken sandwiches & nuggets along with salads & sides.,Eufaula
rodeo's eufaula al,"1462 N Eufaula Ave, Eufaula, AL 36027, United States",,,,,No,No,No,Mexican restaurant,,None Found,Eufaula
Barbour County US 431 Rest Area,"4140 US-431, Eufaula, AL 36027, United States",dot.state.al.us,+1 334-687-9945,906.0,4.5,No,No,No,Rest stop,,None Found,Eufaula
Brantley Mobile Food Pantry,"HQC2+53, Brantley, AL 36009, United States",,,2,5.0,No,No,No,Food bank,,None Found,Brantley
The Parlor,"9451 S Main St, Brantley, AL 36009, United States",facebook.com,+1 334-672-4903,15,4.7,No,No,Yes,American restaurant,,None Found,Brantley
Tha BBQ PIT,"6015 Brantley Hwy, Luverne, AL 36049, United States",,+1 334-535-0140,93,4.8,No,No,Yes,Restaurant, · Closes 5PM,None Found,Brantley
Papa's,"9074 W Emmett Ave, Brantley, AL 36009, United States",,+1 205-351-1604,30,4.3,No,No,No,,,None Found,Brantley
B’s Grill,"2615 5th Ave N, Pell City, AL 35125, United States",facebook.com,+1 317-506-7843,55,4.9,No,Yes,Yes,Barbecue restaurant, · Closes 8PM,None Found,Pell City
Butts To Go,"2600 Mays Dr, Pell City, AL 35128, United States",btgpellcity.com,+1 205-223-8165,292,4.4,No,No,Yes,Barbecue restaurant, · Closes 7PM,"Hickory-smoked pork, chicken, turkey & more offered inside the Pell City Texaco convenience store.",Pell City
The Sawmeal Restaurant,"6880 AL-5, Brent, AL 35034, United States",mapspace.me,+1 205-926-4804,1120,4.1,No,No,Yes,American restaurant, · Closes 9PM,None Found,Brent
Pizza Hut,"10631 Highway 5 Rt. 2 Box 6 Aaa Hwy. 5, Brent, AL 35034, United States",locations.pizzahut.com,+1 205-926-6162,478,4.2,No,No,Yes,Pizza delivery,Open · Closes 11PM,"Popular delivery, carry-out & dine-in chain known for pizza, wings & pasta, plus sides & desserts.",Brent
El Comal Mexican Restaurant,"609 Walnut St, Centreville, AL 35042, United States",,+1 205-340-0065,273,4.6,No,No,Yes,Mexican restaurant, · Closes 10PM,None Found,Brent
Piggly Wiggly,"AL-25, Brent, AL 35034, United States",pigglywiggly.com,+1 205-926-9720,172,4.3,No,No,No,Grocery store, · Closes 7PM,None Found,Brent
Seven Den Tacos,"1400-1424 20th Ave, Calera, AL 35040, United States",facebook.com,+1 205-267-8825,68,4.9,No,No,Yes,Mexican restaurant, · Closes 3PM,None Found,Calera
Tin Top BBQ,"3477 Co Rd 33, Calera, AL 35040, United States",facebook.com,+1 205-668-1409,456,4.6,No,No,Yes,Barbecue restaurant, · Closes 7PM,None Found,Calera
Bertolone's Classic Italian Restaurant,"209 Supercenter Dr, Calera, AL 35040, United States",bertolones.com,+1 205-644-8780,1433,4.5,No,Yes,Yes,Italian restaurant, · Closes 9PM,None Found,Calera
Taquería Los Dos Compadres,"4416 US-31, Calera, AL 35040, United States",mobile-webview2.com,+1 205-319-7003,189,4.7,No,No,Yes,Mexican restaurant, · Closes 10PM,None Found,Calera
"A.C. Legg, Inc.","6330 US-31, Calera, AL 35040, United States",aclegg.com,+1 800-422-5344,37,4.4,No,No,No,Food seasoning manufacturer, · Closes 3:30PM,None Found,Calera
El Pastorcito Taco Truck 3,"41310 US-280, Sylacauga, AL 35150, United States",,+1 205-586-3527,7,5.0,No,Yes,Yes,Taco restaurant, · Closes 7PM,None Found,Sylacauga
Camp 31 BBQ,"222 St Joseph Ave, Brewton, AL 36426, United States",camp31barbeque.com,+1 251-867-2486,1069,4.3,No,No,Yes,Barbecue restaurant, · Closes 9PM,None Found,Brewton
Dine-R-Drive,"487 South Blvd, Brewton, AL 36426, United States",,+1 251-286-8093,61,4.3,No,No,Yes,Restaurant, · Closes 7:30PM,None Found,Brewton
Taqueria Ms.Flores,"428 Douglas Ave, Brewton, AL 36426, United States",,+1 251-236-3319,65,4.5,No,No,Yes,Restaurant, · Closes 9PM,None Found,Brewton
Brewton Feed & Hay Company LLC,"2621 South Blvd, Brewton, AL 36426, United States",,+1 251-867-1396,119,4.7,No,No,Yes,Animal feed store, · Closes 5PM,None Found,Brewton
Coach's BBQ LLC,"302 Forrest Ave, Brewton, AL 36426, United States",facebook.com,+1 251-428-8739,8,4.9,No,No,No,Barbecue area,,None Found,Brewton
McDonald's,"464 South Blvd, Brewton, AL 36426, United States",mcdonalds.com,+1 251-867-4540,1004,3.4,No,No,Yes,Fast food restaurant,Open · Closes 11PM,"Classic, long-running fast-food chain known for its burgers & fries.",Brewton
GG'S FOOD TRUCK,"16585 US-280 ste a, Chelsea, AL 35043, United States",,+1 706-402-4269,1.0,5.0,No,No,No,Food producer, · Closes 7:30PM,None Found,Chelsea
Station 31 Kitchen,"104 Chesser Dr, Chelsea, AL 35043, United States",facebook.com,+1 205-677-2158,875.0,4.5,No,No,Yes,Restaurant, · Closes 10PM,None Found,Chelsea
GG'S FOOD TRUCK,,,+1 205-643-6540,,,No,No,No,Food producer, · Closes 7:30PM,None Found,Chelsea
Old tymers bar&grill,"50800 AL-277 swt a, Bridgeport, AL 35740, United States",,+1 256-495-1200,23,4.7,No,No,Yes,Bar & grill, · Closes 11PM,None Found,Bridgeport
Charlie B's Restaurant,"50541 AL-277, Bridgeport, AL 35740, United States",,+1 256-495-3222,167,4.3,No,No,No,American restaurant, · Closes 6:30PM,None Found,Bridgeport
BIG DADDYS OUTDOORS,"5260 US-72, Bridgeport, AL 35740, United States",lomyu.me,+1 256-495-9225,218,4.4,No,No,No,Gas station, · Closes 9PM,None Found,Bridgeport
Corn Cab Roasted Corn,"3510 Huntsville Ave, Brighton, AL 35020, United States",facebook.com,+1 205-276-4137,5,4.2,No,No,Yes,Southern restaurant (US),,None Found,Brighton
20/59 Travel Center,"3597 Jaybird Rd, Brighton, AL 35020, United States",,+1 205-428-6079,297,3.8,No,No,No,Truck stop,,None Found,Brighton
Mudarse Mexican Food Truck,"4330 Bessemer Super Hwy Unit G1, Brighton, AL 35020, United States",,,1,5.0,No,No,No,,,None Found,Brighton
Love's Travel Stop,"2625 Kelly Creek Rd, Moody, AL 35004, United States",loves.com,+1 205-699-2977,1057,4.1,Yes,No,No,Truck stop,,None Found,Moody
Sneaky Pete's Hotdogs,"2230 Village Dr, Moody, AL 35004, United States",sneakypetes.com,+1 205-640-1102,231,4.0,No,No,Yes,American restaurant, · Closes 7PM,Quirky hot dog chain known for its signature sauce also offers breakfast fare & other comfort food.,Moody
L & L Asian Restaurant | Chinese,"2729 Moody Pkwy, Moody, AL 35004, United States",llasiantogo.com,+1 205-352-0588,450,4.5,No,No,Yes,Restaurant, · Closes 10PM,None Found,Moody
Señor Taco,"7680 Parkway Dr, Leeds, AL 35094, United States",mobile-webview2.com,+1 205-566-3307,17,4.4,No,No,Yes,Mexican restaurant, · Closes 8PM,None Found,Moody
Fashion taco LLC,"2341 Moody Pkwy, Moody, AL 35004, United States",,+1 205-352-3262,61,4.3,No,No,No,Restaurant,,None Found,Moody
Rails & Ales,"1210 6th St, Leeds, AL 35094, United States",railsandales.beer,+1 205-615-1156,288,4.7,No,No,Yes,Beer garden,Opens soon · 2PM,None Found,Moody
La Juanita,"1345 Vivian St SW, Leeds, AL 35094, United States",mobile-webview8.com,+1 205-352-3064,409,4.8,No,No,Yes,Mexican restaurant, · Closes 8PM,None Found,Moody
Logan's Roadhouse,"1999 Village Dr, Leeds, AL 35094, United States",logansroadhouse.com,+1 205-640-5237,2290,3.7,No,Yes,Yes,Steak house, · Closes 11PM,"Down-to-earth chain offering American standards like burgers & ribs, plus signature cocktails.",Moody
JB’s Truck Wash,"7010 AL-129, Winfield, AL 35594, United States",jbstruckwashal.com,+1 334-979-1141,6,4.3,No,No,No,Truck stop, · Closes 5PM,None Found,Brilliant
Cafe 30,"7016 AL-129, Winfield, AL 35594, United States",,+1 205-487-3030,195,4.5,No,No,Yes,Buffet restaurant, · Closes 9PM,None Found,Brilliant
Winfield Travel Plaza,"7016 AL-129, Winfield, AL 35594, United States",chevron.com,+1 205-487-0113,219,4.4,No,No,No,Truck stop,,None Found,Brilliant
Pilot Travel Center,"159 Michael Spann Dr, Winfield, AL 35594, United States",locations.pilotflyingj.com,+1 659-265-0547,128,4.3,No,No,No,Truck stop,,None Found,Brilliant
Dollar General,"10066 AL-129, Brilliant, AL 35548, United States",dollargeneral.com,+1 205-395-3508,117,4.2,Yes,No,Yes,Dollar store, · Closes 9PM,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",Brilliant
Battle Axe's Feast,"195 Vulcan Rd, Birmingham, AL 35209, United States",facebook.com,+1 205-285-4943,37,5.0,No,No,Yes,Restaurant, · 2PM · Opens 11AM Sat,None Found,Brookside
